     Test Run Date:                          01/19/16    08:11 PM ,,,,Report Run Date:                            11/07/16   11.17 AM,,,,
IOPS Test ( Required) - Report Page,,,,,,,,
SNIA SSS TWG,Solid Performance Test Spec (PTS),,IOPS - Block Size x RW Mix Matrix,,,Rev.,PTS-E 2.0,
Vendor: ,Mfg A,SSD Model:,SSD A NVMe SSD,,TEST SPONSOR,SNIA,,
Test Platform,,Device Under Test,,Set Up Parameters ,,Test Parameters,,
Ref Test Platform,Calypso RTP 3.0,Mfgr,Mfgr A,Data Pattern,RND_ONCE,Data Pattern,RND_ONCE,
Motherboard,,Model No,ABCD,AR,100%,AR and Amount,100%,
CPU,Intel(R) Xeon (R) CPU,S/N,123456,AR Segments,,Test Stimulus 1,IOPS loop,
Memory,31.3 GB,Firmware ver,0a1b2c3d,Pre Condition 1,SEQ 128 KB W,RW Mix ,Outer loop,
Operating System,CentOS 6.5,Capacity,2000 GB,ToIo - TC/QD,TC1/QD 32,Block Sizes,Inner loop,
Test SW,CTS 6.5,Interface ,NVME,Duration,2x User Capacity,ToIo - TC/QD,TC8/QD 32,
Test SW Info,1.23,NAND Type,MLC,Pre Condition 2,IOPS loop,Steady State,3-7,
Test ID No.,R84-9014,PCIe NVM,U.2,ToIo - TC/QD,TC8/QD 32,Test Stimulus 2,,
HBA,SA59212-414e,Purge Method,Purged,SS Rounds,3-7,ToIo - TC/QD,,
PCIe,Gen 3,Write Cache,disabled,Note,,Steady State,,
